Date,Open Price,High_Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-Dec-20,18650,18785.95,18523.45,18598.25,18623.52091,3300,1404,61457619,935,28.33,262.5,-51.75
24-Dec-20,18721,18821.45,18383.8,18577.95,18560.63351,2584,1202,47960677,803,31.08,437.65,-143.05
23-Dec-20,18505,18817.7,18505,18723.35,18678.34471,3751,1207,70062471,1889,50.36,312.7,218.35
22-Dec-20,18200,18667.2,18000.5,18586.1,18322.3974,4464,1385,81791182,1053,23.59,666.7,386.1
21-Dec-20,18363,18524.9,18078,18172.55,18334.38998,4572,1662,83824831,1017,22.24,446.9,-190.45
18-Dec-20,18394,18600,18190,18347.25,18461.66658,3971,1627,73311278,799,20.12,410,-46.75
17-Dec-20,18325,18395.8,18156,18298.15,18311.15992,2620,1031,47975239,411,15.69,239.8,-26.85
16-Dec-20,18480,18725,18255.15,18321.6,18469.25934,9613,3179,177544990,1662,17.29,469.85,-158.4
15-Dec-20,18500,18552.4,18135.35,18191.75,18322.98241,3241,1319,59384786,888,27.4,417.05,-308.25
14-Dec-20,18420,18679.2,18303.75,18585.4,18558.75486,8640,2660,160347642,2757,31.91,375.45,165.4
11-Dec-20,18320,18457.85,18204.25,18403,18338.0369,5095,2058,93432298,1380,27.09,253.6,83
10-Dec-20,17567,18411.4,17567,18363.5,18097.26076,10669,3584,193079675,3367,31.56,844.4,796.5
09-Dec-20,17510,17661,17491.9,17561.5,17554.61657,1038,525,18221692,279,26.88,169.1,51.5
08-Dec-20,17800,17800,17388.3,17517.3,17506.62083,2247,1107,39337377,507,22.56,411.7,-282.7
07-Dec-20,17730,17899,17455.3,17560.15,17616.22137,3537,1521,62308575,1252,35.4,443.7,-169.85
04-Dec-20,17487,17873.1,17487,17825.9,17700.49353,6800,3595,120363356,4223,62.1,386.1,338.9
03-Dec-20,17524,17524,17329.5,17498.35,17299.29682,11620,922,201017829,10253,88.24,194.5,-25.65
02-Dec-20,17538.8,17538.8,17150.05,17265.85,17259.86038,4011,1845,69229300,1864,46.47,388.75,-272.95
01-Dec-20,18188,18188,17350,17417.15,17481.51439,4030,1935,70450503,1288,31.96,838,-770.85
27-Nov-20,17835,18040,16949.95,17657.6,17752.58175,15247,4181,270673614,9287,60.91,1090.05,-177.4
26-Nov-20,17490,17834.95,17280.3,17752.65,17511.29838,4558,2076,79816498,1710,37.52,554.65,262.65
25-Nov-20,17754,17798.95,17325,17526.1,17432.82731,12566,2505,219060908,7532,59.94,473.95,-227.9
24-Nov-20,17790.25,17950,17615.95,17679.9,17801.22692,6641,2732,118217948,2048,30.84,334.05,-110.35
23-Nov-20,17549.95,17840,17472,17791.35,17708.06918,7314,3366,129516818,3992,54.58,368,241.4
20-Nov-20,17006.55,17500,16933.9,17470,17395.87414,9328,3522,162268714,2719,29.15,566.1,463.45
19-Nov-20,16865,17199,16801,16933.5,17083.38351,3906,1607,66727696,1154,29.54,398,68.5
18-Nov-20,16949.95,16957.05,16678.05,16865.75,16812.6844,2725,1632,45814565,1036,38.02,279,-84.2
17-Nov-20,16900.1,17061,16846.75,16983.2,16966.36319,5504,2592,93382863,2853,51.84,214.25,83.1
14-Nov-20,16835,16869.9,16750.15,16842.1,16833.95446,1054,466,17742988,584,55.41,119.75,7.1
13-Nov-20,16789,16886.95,16641.1,16825.95,16736.54833,14586,1877,244119294,12945,88.75,245.85,36.95
12-Nov-20,16750,16975.65,16538.85,16729.7,16725.53585,5593,2442,93545922,2221,39.71,436.8,-20.3
11-Nov-20,16750,16807.9,16458.7,16699.45,16618.1233,6821,3164,113352219,1991,29.19,349.2,-50.55
10-Nov-20,17177,17330.05,16580.9,16607.9,16779.48469,8721,3369,146333886,3183,36.5,749.15,-569.1
09-Nov-20,17270,17370,16868.45,17315.2,17196.60898,6841,2889,117642002,3528,51.57,501.55,45.2
